Confidence Score,Emotion,Time
77.17210388183594,ANGRY,18:10:00
40.52823257446289,ANGRY,18:15:00
92.64704895019531,ANGRY,18:20:00
53.3330078125,HAPPY,18:25:00
56.4784049987793,ANGRY,18:30:00
78.73155212402344,ANGRY,18:35:00
53.85217666625977,SAD,18:40:00
60.9117431640625,ANGRY,18:45:00
75.26253509521484,ANGRY,18:55:00
62.2505111694336,ANGRY,19:00:00
52.74487686157226,HAPPY,19:05:00
93.93744659423828,ANGRY,19:10:00
76.80120086669922,ANGRY,19:15:00
64.55963897705078,CALM,19:20:00
43.173072814941406,ANGRY,19:25:00
60.85578918457031,HAPPY,19:30:00
35.48346710205078,ANGRY,19:35:00
60.79066848754883,ANGRY,19:40:00
82.51911926269531,ANGRY,19:45:00
91.64269256591795,HAPPY,19:50:00
93.0958023071289,HAPPY,19:55:00
62.4868278503418,ANGRY,20:00:00
89.02507019042969,ANGRY,20:05:00
78.20339965820312,ANGRY,20:10:00
70.30502319335939,ANGRY,20:15:00
72.2197036743164,SAD,20:20:00
47.42757797241211,ANGRY,20:25:00
76.98542785644531,ANGRY,21:35:00
97.8358917236328,ANGRY,21:40:00
69.89463806152344,CALM,21:45:00
90.80316162109376,ANGRY,21:50:00
52.41861343383789,CALM,21:55:00
73.08563232421875,SAD,22:00:00
