Confidence Score,Emotion,Time
39.99428176879883,ANGRY,19:15:00
67.66241455078125,ANGRY,19:20:00
65.72373962402344,ANGRY,19:25:00
90.74026489257812,ANGRY,19:30:00
90.67858123779295,ANGRY,19:35:00
91.68690490722656,ANGRY,19:40:00
81.64537048339844,ANGRY,19:45:00
93.35801696777344,ANGRY,19:50:00
80.1520004272461,ANGRY,19:55:00
43.97032928466797,ANGRY,20:00:00
66.61492919921875,ANGRY,20:05:00
86.18853759765625,ANGRY,20:10:00
91.0448226928711,ANGRY,20:15:00
85.50875091552734,ANGRY,20:20:00
89.51496124267578,ANGRY,20:25:00
80.94835662841797,ANGRY,20:30:00
70.4775619506836,ANGRY,20:35:00
57.67889022827149,ANGRY,20:40:00
66.21176147460939,SAD,20:45:00
97.2598876953125,ANGRY,20:50:00
85.31620788574219,ANGRY,20:55:00
94.240966796875,ANGRY,21:00:00
99.46597290039062,ANGRY,21:05:00
24.171052932739254,CALM,21:10:00
78.11392211914062,ANGRY,21:15:00
19.889461517333984,ANGRY,21:20:00
96.3902816772461,ANGRY,21:25:00
94.4614486694336,ANGRY,21:30:00
34.820785522460945,CALM,21:35:00
64.26737976074219,CALM,21:40:00
