Confidence Score,Emotion,Time
30.0510196685791,ANGRY,18:00:10
84.79310607910156,SAD,18:05:19
58.47434997558594,ANGRY,18:10:21
45.5392074584961,ANGRY,18:15:54
42.33711242675781,ANGRY,18:20:41
40.79058456420898,SAD,18:25:13
64.04269409179689,ANGRY,18:30:03
48.532188415527344,ANGRY,18:35:27
35.818763732910156,CALM,18:40:30
58.72910690307617,CALM,18:45:01
35.4260139465332,ANGRY,19:25:07
36.32247924804688,ANGRY,19:30:11
41.9570198059082,ANGRY,19:35:41
38.445072174072266,CALM,19:40:38
38.55512619018555,ANGRY,19:45:59
45.86936950683594,ANGRY,19:50:01
39.32895278930664,ANGRY,20:00:17
44.193641662597656,ANGRY,20:05:10
37.92073822021485,ANGRY,20:10:11
50.193077087402344,ANGRY,20:15:19
37.99017333984375,CALM,20:20:08
68.76531982421875,ANGRY,20:25:19
51.19258117675781,ANGRY,20:30:03
67.52602386474611,HAPPY,20:35:01
46.69464492797852,ANGRY,20:40:03
28.194284439086914,SAD,20:45:17
63.3292121887207,ANGRY,20:50:10
34.70787811279297,ANGRY,20:55:29
55.94143295288086,ANGRY,21:00:07
