Confidence Score,Emotion,Time
90.51280975341795,SAD,18:20:01
82.07585906982422,ANGRY,18:25:27
66.13968658447266,ANGRY,18:30:40
77.66057586669922,ANGRY,18:35:13
81.22196960449219,ANGRY,18:40:09
65.06834411621094,ANGRY,18:45:19
91.19684600830078,ANGRY,18:50:35
56.72317886352539,CALM,18:55:11
73.9237289428711,ANGRY,20:10:29
70.82362365722656,ANGRY,20:15:03
32.779308319091804,ANGRY,20:20:11
64.49030303955078,CALM,20:25:02
79.10321044921875,ANGRY,20:30:12
82.70594787597656,ANGRY,20:35:54
86.95260620117188,ANGRY,20:40:10
36.64347839355469,SURPRISED,20:45:05
75.56954956054688,SAD,20:50:15
71.61212921142578,ANGRY,20:55:01
93.79670715332031,ANGRY,21:00:57
40.34841537475586,SURPRISED,21:05:48
96.64495849609376,ANGRY,21:10:52
83.86842346191406,ANGRY,21:15:05
59.28858947753906,ANGRY,21:20:30
83.2013931274414,ANGRY,21:25:07
88.89197540283203,SAD,21:30:35
36.53228759765625,SAD,21:35:19
68.69671630859375,ANGRY,21:40:54
98.91075897216795,SAD,21:45:09
87.18682861328125,ANGRY,21:50:45
93.5763168334961,ANGRY,21:55:31
