Confidence Score,Emotion,Time
93.58358001708984,ANGRY,18:05:00
95.67990112304688,ANGRY,18:10:00
98.87940216064452,ANGRY,18:15:00
97.9486846923828,ANGRY,18:20:00
98.2777328491211,ANGRY,18:25:00
91.5507583618164,ANGRY,18:30:00
95.77361297607422,ANGRY,18:35:00
96.94632720947266,ANGRY,18:40:00
62.34894561767578,ANGRY,18:45:00
57.588623046875,ANGRY,18:50:00
61.54086685180664,ANGRY,18:55:00
67.18248748779297,ANGRY,19:00:00
45.68852233886719,ANGRY,19:10:00
70.95162200927734,ANGRY,19:15:00
58.36172103881836,ANGRY,19:20:00
69.75643920898439,ANGRY,19:25:00
61.50942611694336,ANGRY,19:30:00
75.06617736816406,ANGRY,19:35:00
86.47559356689453,ANGRY,20:15:00
52.06258773803711,CALM,20:20:00
80.66027069091797,ANGRY,20:25:00
91.288818359375,ANGRY,20:30:00
90.833251953125,ANGRY,20:35:00
69.83502197265625,ANGRY,20:40:00
96.0702896118164,ANGRY,20:45:00
93.14952850341795,ANGRY,20:50:00
80.70184326171875,ANGRY,20:55:00
75.83495330810547,ANGRY,21:00:00
93.4594497680664,ANGRY,21:05:00
94.47286987304688,ANGRY,21:10:00
56.57926940917969,ANGRY,21:15:00
